2025-07-11 01:04:17,653 [INFO] Logs are being written to logs/run_20250711_010417.log
2025-07-11 01:04:17,654 [INFO] 🚀 Started new run: run_20250711_010417
2025-07-11 01:04:17,654 [INFO] 📋 Saved configuration: start_date=2025-07-01, threaded=True (workers=10)
2025-07-11 01:04:17,654 [INFO] 
📊 Current run summary:
2025-07-11 01:04:17,654 [INFO]    Run ID: run_20250711_010417
2025-07-11 01:04:17,654 [INFO]    Status: running
2025-07-11 01:04:17,654 [INFO]    Configuration: start_date=2025-07-01, threaded=True (workers=10)
2025-07-11 01:04:17,654 [INFO] 
🚀 Processing data load for items from 2025-07-01 onwards.
2025-07-11 01:04:17,654 [INFO] 📋 Note: Agendapunten are processed through Activiteiten (hierarchical relationship)
2025-07-11 01:04:17,654 [INFO] 🧵 Using threaded processing with 10 workers for activiteiten
2025-07-11 01:04:17,654 [INFO] 🧵 Using threaded processing with 10 workers for zaken
2025-07-11 01:04:17,654 [INFO] 🔍 ID checking enabled - will skip items that already exist in Neo4j
2025-07-11 01:04:17,654 [INFO] 
🌱 Seeding enum nodes...
2025-07-11 01:04:17,677 [INFO] Merged node ZaakSoort(key=AMENDEMENT) props={'key': 'AMENDEMENT', 'prefLabel': 'Amendement'}
2025-07-11 01:04:17,687 [INFO] Merged node ZaakSoort(key=ARTIKELEN_WETSVOORSTEL) props={'key': 'ARTIKELEN_WETSVOORSTEL', 'prefLabel': 'Artikelen/onderdelen (wetsvoorstel)'}
2025-07-11 01:04:17,688 [INFO] Merged node ZaakSoort(key=BEGROTING) props={'key': 'BEGROTING', 'prefLabel': 'Begroting'}
2025-07-11 01:04:17,689 [INFO] Merged node ZaakSoort(key=BRIEF_COMMISSIE) props={'key': 'BRIEF_COMMISSIE', 'prefLabel': 'Brief commissie'}
2025-07-11 01:04:17,690 [INFO] Merged node ZaakSoort(key=BRIEF_EUROPESE_COMMISSIE) props={'key': 'BRIEF_EUROPESE_COMMISSIE', 'prefLabel': 'Brief Europese Commissie'}
2025-07-11 01:04:17,690 [INFO] Merged node ZaakSoort(key=BRIEF_KAMER) props={'key': 'BRIEF_KAMER', 'prefLabel': 'Brief Kamer'}
2025-07-11 01:04:17,691 [INFO] Merged node ZaakSoort(key=BRIEF_REGERING) props={'key': 'BRIEF_REGERING', 'prefLabel': 'Brief regering'}
2025-07-11 01:04:17,692 [INFO] Merged node ZaakSoort(key=BRIEF_LID) props={'key': 'BRIEF_LID', 'prefLabel': 'Brief van lid/fractie/commissie'}
2025-07-11 01:04:17,693 [INFO] Merged node ZaakSoort(key=EU_VOORSTEL) props={'key': 'EU_VOORSTEL', 'prefLabel': 'EU-voorstel'}
2025-07-11 01:04:17,693 [INFO] Merged node ZaakSoort(key=INITIATIEF_NOTA) props={'key': 'INITIATIEF_NOTA', 'prefLabel': 'Initiatiefnota'}
2025-07-11 01:04:17,695 [INFO] Merged node ZaakSoort(key=INITIATIEF_WETGEVING) props={'key': 'INITIATIEF_WETGEVING', 'prefLabel': 'Initiatiefwetgeving'}
2025-07-11 01:04:17,695 [INFO] Merged node ZaakSoort(key=INTERPELLATIE) props={'key': 'INTERPELLATIE', 'prefLabel': 'Interpellatie'}
2025-07-11 01:04:17,696 [INFO] Merged node ZaakSoort(key=LIJST_EU_VOORSTELLEN) props={'key': 'LIJST_EU_VOORSTELLEN', 'prefLabel': 'Lijst met EU-voorstellen'}
2025-07-11 01:04:17,697 [INFO] Merged node ZaakSoort(key=MONDELINGE_VRAGEN) props={'key': 'MONDELINGE_VRAGEN', 'prefLabel': 'Mondelinge vragen'}
2025-07-11 01:04:17,697 [INFO] Merged node ZaakSoort(key=MOTIE) props={'key': 'MOTIE', 'prefLabel': 'Motie'}
2025-07-11 01:04:17,698 [INFO] Merged node ZaakSoort(key=NATIONALE_OMBUDSMAN) props={'key': 'NATIONALE_OMBUDSMAN', 'prefLabel': 'Nationale ombudsman'}
2025-07-11 01:04:17,699 [INFO] Merged node ZaakSoort(key=NETWERKVERKENNING) props={'key': 'NETWERKVERKENNING', 'prefLabel': 'Netwerkverkenning'}
2025-07-11 01:04:17,699 [INFO] Merged node ZaakSoort(key=NOTA_VAN_VERSLAG) props={'key': 'NOTA_VAN_VERSLAG', 'prefLabel': 'Nota n.a.v. het (nader/tweede nader/enz.) verslag'}
2025-07-11 01:04:17,700 [INFO] Merged node ZaakSoort(key=NOTA_VAN_WIJZIGING) props={'key': 'NOTA_VAN_WIJZIGING', 'prefLabel': 'Nota van wijziging'}
2025-07-11 01:04:17,700 [INFO] Merged node ZaakSoort(key=OVERIG) props={'key': 'OVERIG', 'prefLabel': 'Overig'}
2025-07-11 01:04:17,701 [INFO] Merged node ZaakSoort(key=PARLEMENTAIR_ONDERZOEKSRAPPORT) props={'key': 'PARLEMENTAIR_ONDERZOEKSRAPPORT', 'prefLabel': 'Parlementair onderzoeksrapport'}
2025-07-11 01:04:17,702 [INFO] Merged node ZaakSoort(key=PKB_STRUCTUURVISIE) props={'key': 'PKB_STRUCTUURVISIE', 'prefLabel': 'PKB/Structuurvisie'}
2025-07-11 01:04:17,702 [INFO] Merged node ZaakSoort(key=POSITION_PAPER) props={'key': 'POSITION_PAPER', 'prefLabel': 'Position paper'}
2025-07-11 01:04:17,703 [INFO] Merged node ZaakSoort(key=RAPPORT_ALGEMENE_REKENKAMER) props={'key': 'RAPPORT_ALGEMENE_REKENKAMER', 'prefLabel': 'Rapport/brief Algemene Rekenkamer'}
2025-07-11 01:04:17,703 [INFO] Merged node ZaakSoort(key=RONDVRAAGPUNT_PROCEDUREVERGADERING) props={'key': 'RONDVRAAGPUNT_PROCEDUREVERGADERING', 'prefLabel': 'Rondvraagpunt procedurevergadering'}
2025-07-11 01:04:17,704 [INFO] Merged node ZaakSoort(key=SCHRIFTELIJKE_VRAGEN) props={'key': 'SCHRIFTELIJKE_VRAGEN', 'prefLabel': 'Schriftelijke vragen'}
2025-07-11 01:04:17,704 [INFO] Merged node ZaakSoort(key=VERDRAG) props={'key': 'VERDRAG', 'prefLabel': 'Verdrag'}
2025-07-11 01:04:17,705 [INFO] Merged node ZaakSoort(key=VERZOEK_REGELING_WERKZAAMHEDEN) props={'key': 'VERZOEK_REGELING_WERKZAAMHEDEN', 'prefLabel': 'Verzoek bij regeling van werkzaamheden'}
2025-07-11 01:04:17,705 [INFO] Merged node ZaakSoort(key=VERZOEK_COMMISIE_REGELING_WERKZAAMHEDEN) props={'key': 'VERZOEK_COMMISIE_REGELING_WERKZAAMHEDEN', 'prefLabel': 'Verzoek bij commissie-regeling van werkzaamheden'}
2025-07-11 01:04:17,706 [INFO] Merged node ZaakSoort(key=VERZOEKSCHRIFT) props={'key': 'VERZOEKSCHRIFT', 'prefLabel': 'Verzoekschrift'}
2025-07-11 01:04:17,706 [INFO] Merged node ZaakSoort(key=VOORDRACHTEN_EN_BENOEMINGEN) props={'key': 'VOORDRACHTEN_EN_BENOEMINGEN', 'prefLabel': 'Voordrachten en benoemingen'}
2025-07-11 01:04:17,707 [INFO] Merged node ZaakSoort(key=WETENSCHAPSTOETS) props={'key': 'WETENSCHAPSTOETS', 'prefLabel': 'Wetenschapstoets'}
2025-07-11 01:04:17,707 [INFO] Merged node ZaakSoort(key=WETENSCHAPPELIJK_FACTSHEET) props={'key': 'WETENSCHAPPELIJK_FACTSHEET', 'prefLabel': 'Wetenschappelijke factsheet'}
2025-07-11 01:04:17,708 [INFO] Merged node ZaakSoort(key=WETGEVING) props={'key': 'WETGEVING', 'prefLabel': 'Wetgeving'}
2025-07-11 01:04:17,709 [INFO] Merged node ZaakSoort(key=WIJZIGING_RVO) props={'key': 'WIJZIGING_RVO', 'prefLabel': 'Wijziging RvO'}
2025-07-11 01:04:17,709 [INFO] Merged node ZaakSoort(key=WIJZIGING_VOORGESTELD_REGERING) props={'key': 'WIJZIGING_VOORGESTELD_REGERING', 'prefLabel': 'Wijzigingen voorgesteld door de regering'}
2025-07-11 01:04:17,710 [INFO] Merged node ZaakSoort(key=OVERIG_OPENBAAR) props={'key': 'OVERIG_OPENBAAR', 'prefLabel': 'Overig openbaar'}
2025-07-11 01:04:17,714 [INFO] Merged node KabinetsAppreciatie(key=OVERGENOMEN) props={'key': 'OVERGENOMEN', 'prefLabel': 'Overgenomen'}
2025-07-11 01:04:17,718 [INFO] Merged node KabinetsAppreciatie(key=ONTRADEN) props={'key': 'ONTRADEN', 'prefLabel': 'Ontraden'}
2025-07-11 01:04:17,718 [INFO] Merged node KabinetsAppreciatie(key=ONTRADEN_TENZIJ_GEWIJZGID) props={'key': 'ONTRADEN_TENZIJ_GEWIJZGID', 'prefLabel': 'Ontraden, tenzij gewijzigd'}
2025-07-11 01:04:17,719 [INFO] Merged node KabinetsAppreciatie(key=OORDEEL_KAMER) props={'key': 'OORDEEL_KAMER', 'prefLabel': 'Oordeel Kamer'}
2025-07-11 01:04:17,720 [INFO] Merged node KabinetsAppreciatie(key=VERZOCHT_AAN_TE_HOUDEN) props={'key': 'VERZOCHT_AAN_TE_HOUDEN', 'prefLabel': 'Verzocht motie aan te houden'}
2025-07-11 01:04:17,720 [INFO] Merged node KabinetsAppreciatie(key=GEEN_APPRECIATIE) props={'key': 'GEEN_APPRECIATIE', 'prefLabel': 'Geen (expliciete) appreciatie'}
2025-07-11 01:04:17,721 [INFO] Merged node KabinetsAppreciatie(key=NIET_BESCHIKBAAR_BIJ_WIJZIGING) props={'key': 'NIET_BESCHIKBAAR_BIJ_WIJZIGING', 'prefLabel': 'Niet beschikbaar bij gewijzigde moties en/of amendementen'}
2025-07-11 01:04:17,721 [INFO] Merged node KabinetsAppreciatie(key=NIET_BESCHIKBAAR) props={'key': 'NIET_BESCHIKBAAR', 'prefLabel': 'Niet beschikbaar bij moties en/of amendementen vóór 1 april 2019'}
2025-07-11 01:04:17,722 [INFO] Merged node KabinetsAppreciatie(key=NOG_NIET_BEKEND) props={'key': 'NOG_NIET_BEKEND', 'prefLabel': 'Nog niet bekend'}
2025-07-11 01:04:17,722 [INFO] Merged node KabinetsAppreciatie(key=NOG_TE_ONTVANGEN) props={'key': 'NOG_TE_ONTVANGEN', 'prefLabel': 'Nog te ontvangen'}
2025-07-11 01:04:17,723 [INFO] Merged node KabinetsAppreciatie(key=VERZOEK_COMMISIE_REGELING_WERKZAAMHEDEN) props={'key': 'VERZOEK_COMMISIE_REGELING_WERKZAAMHEDEN', 'prefLabel': 'Verzoek bij commissie-regeling van werkzaamheden'}
2025-07-11 01:04:17,723 [INFO] Merged node KabinetsAppreciatie(key=ONTIJDIG) props={'key': 'ONTIJDIG', 'prefLabel': 'Ontijdig'}
2025-07-11 01:04:17,724 [INFO] Merged node KabinetsAppreciatie(key=OVERBODIG) props={'key': 'OVERBODIG', 'prefLabel': 'Overbodig'}
2025-07-11 01:04:17,728 [INFO] Merged node ZaakActorRelatieSoort(key=GERICHT_AAN) props={'key': 'GERICHT_AAN', 'prefLabel': 'Gericht aan'}
2025-07-11 01:04:17,732 [INFO] Merged node ZaakActorRelatieSoort(key=INDIENER) props={'key': 'INDIENER', 'prefLabel': 'Indiener'}
2025-07-11 01:04:17,732 [INFO] Merged node ZaakActorRelatieSoort(key=MEDEINDIENER) props={'key': 'MEDEINDIENER', 'prefLabel': 'Medeindiener'}
2025-07-11 01:04:17,733 [INFO] Merged node ZaakActorRelatieSoort(key=RAPPORTEUR) props={'key': 'RAPPORTEUR', 'prefLabel': 'Rapporteur'}
2025-07-11 01:04:17,733 [INFO] Merged node ZaakActorRelatieSoort(key=VOLGCOMMISSIE) props={'key': 'VOLGCOMMISSIE', 'prefLabel': 'Volgcommissie'}
2025-07-11 01:04:17,734 [INFO] Merged node ZaakActorRelatieSoort(key=VOORTOUWCOMMISSIE) props={'key': 'VOORTOUWCOMMISSIE', 'prefLabel': 'Voortouwcommissie'}
2025-07-11 01:04:17,737 [INFO] Merged node DocumentSoort(key=AANBIEDINGSBRIEF) props={'key': 'AANBIEDINGSBRIEF', 'prefLabel': 'Aanbiedingsbrief'}
2025-07-11 01:04:17,738 [INFO] Merged node DocumentSoort(key=AANHANGSEL_VAN_DE_HANDELINGEN) props={'key': 'AANHANGSEL_VAN_DE_HANDELINGEN', 'prefLabel': 'Aanhangsel van de Handelingen'}
2025-07-11 01:04:17,739 [INFO] Merged node DocumentSoort(key=ADVIES_AFDELING_ADVISERING_RAAD_VAN_STATE_EN_NADER_RAPPORT) props={'key': 'ADVIES_AFDELING_ADVISERING_RAAD_VAN_STATE_EN_NADER_RAPPORT', 'prefLabel': 'Advies Afdeling advisering Raad van State en Nader rapport'}
2025-07-11 01:04:17,739 [INFO] Merged node DocumentSoort(key=ADVIES_AFDELING_ADVISERING_RAAD_VAN_STATE_EN_REACTIE_VAN_DE_INITIATIEFNEMERS) props={'key': 'ADVIES_AFDELING_ADVISERING_RAAD_VAN_STATE_EN_REACTIE_VAN_DE_INITIATIEFNEMERS', 'prefLabel': 'Advies Afdeling advisering Raad van State en Reactie van de initiatiefnemer(s)'}
2025-07-11 01:04:17,740 [INFO] Merged node DocumentSoort(key=ADVIES_AFDELING_ADVISERING_RAAD_VAN_STATE) props={'key': 'ADVIES_AFDELING_ADVISERING_RAAD_VAN_STATE', 'prefLabel': 'Advies Afdeling advisering Raad van State'}
2025-07-11 01:04:17,740 [INFO] Merged node DocumentSoort(key=ADVIES_AAN_PRESIDIUM) props={'key': 'ADVIES_AAN_PRESIDIUM', 'prefLabel': 'Advies aan Presidium'}
2025-07-11 01:04:17,741 [INFO] Merged node DocumentSoort(key=ADVIES_COMMISSIE) props={'key': 'ADVIES_COMMISSIE', 'prefLabel': 'Advies commissie'}
2025-07-11 01:04:17,741 [INFO] Merged node DocumentSoort(key=ADVIES_VAN_ANDERE_ADVIESORGANEN) props={'key': 'ADVIES_VAN_ANDERE_ADVIESORGANEN', 'prefLabel': 'Advies van andere adviesorganen'}
2025-07-11 01:04:17,742 [INFO] Merged node DocumentSoort(key=ADVIESAANVRAAG_AFDELING_ADVISERING_RAAD_VAN_STATE) props={'key': 'ADVIESAANVRAAG_AFDELING_ADVISERING_RAAD_VAN_STATE', 'prefLabel': 'Adviesaanvraag Afdeling advisering Raad van State'}
2025-07-11 01:04:17,742 [INFO] Merged node DocumentSoort(key=AGENDA_PLENAIRE_VERGADERING) props={'key': 'AGENDA_PLENAIRE_VERGADERING', 'prefLabel': 'Agenda plenaire vergadering'}
2025-07-11 01:04:17,743 [INFO] Merged node DocumentSoort(key=AGENDA_PROCEDUREVERGADERING) props={'key': 'AGENDA_PROCEDUREVERGADERING', 'prefLabel': 'Agenda procedurevergadering'}
2025-07-11 01:04:17,744 [INFO] Merged node DocumentSoort(key=AGENDA_STRATEGISCHE_PROCEDUREVERGADERING) props={'key': 'AGENDA_STRATEGISCHE_PROCEDUREVERGADERING', 'prefLabel': 'Agenda strategische procedurevergadering'}
2025-07-11 01:04:17,748 [INFO] Merged node DocumentSoort(key=AMENDEMENT) props={'key': 'AMENDEMENT', 'prefLabel': 'Amendement'}
2025-07-11 01:04:17,749 [INFO] Merged node DocumentSoort(key=AMENDEMENT_GEWIJZIGD) props={'key': 'AMENDEMENT_GEWIJZIGD', 'prefLabel': 'Amendement (gewijzigd/nader/vervangend)'}
2025-07-11 01:04:17,749 [INFO] Merged node DocumentSoort(key=ANTWOORD_SCHRIFTELIJKE_VRAGEN_NADER) props={'key': 'ANTWOORD_SCHRIFTELIJKE_VRAGEN_NADER', 'prefLabel': 'Antwoord schriftelijke vragen (nader)'}
2025-07-11 01:04:17,750 [INFO] Merged node DocumentSoort(key=ANTWOORD_SCHRIFTELIJKE_VRAGEN) props={'key': 'ANTWOORD_SCHRIFTELIJKE_VRAGEN', 'prefLabel': 'Antwoord schriftelijke vragen'}
2025-07-11 01:04:17,750 [INFO] Merged node DocumentSoort(key=BEGROTINGSTOELICHTING) props={'key': 'BEGROTINGSTOELICHTING', 'prefLabel': 'Begrotingstoelichting'}
2025-07-11 01:04:17,751 [INFO] Merged node DocumentSoort(key=BESLUITENLIJST_PROCEDUREVERGADERING) props={'key': 'BESLUITENLIJST_PROCEDUREVERGADERING', 'prefLabel': 'Besluitenlijst procedurevergadering'}
2025-07-11 01:04:17,757 [INFO] Merged node DocumentSoort(key=BESLUITENLIJST_STRATEGISCHE_PROCEDUREVERGADERING) props={'key': 'BESLUITENLIJST_STRATEGISCHE_PROCEDUREVERGADERING', 'prefLabel': 'Besluitenlijst strategische procedurevergadering'}
2025-07-11 01:04:17,758 [INFO] Merged node DocumentSoort(key=BIJGEWERKTE_TEKST) props={'key': 'BIJGEWERKTE_TEKST', 'prefLabel': 'Bijgewerkte tekst'}
2025-07-11 01:04:17,758 [INFO] Merged node DocumentSoort(key=BIJLAGE) props={'key': 'BIJLAGE', 'prefLabel': 'Bijlage'}
2025-07-11 01:04:17,759 [INFO] Merged node DocumentSoort(key=BRIEF_AFDELING_ADVISERING_RAAD_VAN_STATE) props={'key': 'BRIEF_AFDELING_ADVISERING_RAAD_VAN_STATE', 'prefLabel': 'Brief Afdeling advisering Raad van State'}
2025-07-11 01:04:17,759 [INFO] Merged node DocumentSoort(key=BRIEF_ALGEMENE_REKENKAMER) props={'key': 'BRIEF_ALGEMENE_REKENKAMER', 'prefLabel': 'Brief Algemene Rekenkamer'}
2025-07-11 01:04:17,760 [INFO] Merged node DocumentSoort(key=BRIEF_CTIVD) props={'key': 'BRIEF_CTIVD', 'prefLabel': 'Brief CTIVD'}
2025-07-11 01:04:17,760 [INFO] Merged node DocumentSoort(key=BRIEF_EERSTE_KAMER) props={'key': 'BRIEF_EERSTE_KAMER', 'prefLabel': 'Brief Eerste Kamer'}
2025-07-11 01:04:17,761 [INFO] Merged node DocumentSoort(key=BRIEF_EUROPESE_COMMISSIE) props={'key': 'BRIEF_EUROPESE_COMMISSIE', 'prefLabel': 'Brief Europese Commissie'}
2025-07-11 01:04:17,762 [INFO] Merged node DocumentSoort(key=BRIEF_KAMER_AAN_BEWINDSPERSOON) props={'key': 'BRIEF_KAMER_AAN_BEWINDSPERSOON', 'prefLabel': 'Brief Kamer aan bewindspersoon'}
2025-07-11 01:04:17,762 [INFO] Merged node DocumentSoort(key=BRIEF_KAMER_AAN_DERDE) props={'key': 'BRIEF_KAMER_AAN_DERDE', 'prefLabel': 'Brief Kamer aan derde'}
2025-07-11 01:04:17,763 [INFO] Merged node DocumentSoort(key=BRIEF_KAMER) props={'key': 'BRIEF_KAMER', 'prefLabel': 'Brief Kamer'}
2025-07-11 01:04:17,763 [INFO] Merged node DocumentSoort(key=BRIEF_NATIONALE_OMBUDSMAN) props={'key': 'BRIEF_NATIONALE_OMBUDSMAN', 'prefLabel': 'Brief Nationale ombudsman'}
2025-07-11 01:04:17,764 [INFO] Merged node DocumentSoort(key=BRIEF_PRESIDIUM) props={'key': 'BRIEF_PRESIDIUM', 'prefLabel': 'Brief Presidium'}
2025-07-11 01:04:17,764 [INFO] Merged node DocumentSoort(key=BRIEF_COMMISSIE_AAN_BEWINDSPERSOON) props={'key': 'BRIEF_COMMISSIE_AAN_BEWINDSPERSOON', 'prefLabel': 'Brief commissie aan bewindspersoon'}
2025-07-11 01:04:17,765 [INFO] Merged node DocumentSoort(key=BRIEF_COMMISSIE_AAN_DERDE) props={'key': 'BRIEF_COMMISSIE_AAN_DERDE', 'prefLabel': 'Brief commissie aan derde'}
2025-07-11 01:04:17,765 [INFO] Merged node DocumentSoort(key=BRIEF_COMMISSIE) props={'key': 'BRIEF_COMMISSIE', 'prefLabel': 'Brief commissie'}
2025-07-11 01:04:17,766 [INFO] Merged node DocumentSoort(key=BRIEF_DERDEN_ORGANISATIE) props={'key': 'BRIEF_DERDEN_ORGANISATIE', 'prefLabel': 'Brief derden (organisatie)'}
2025-07-11 01:04:17,766 [INFO] Merged node DocumentSoort(key=BRIEF_DERDEN_PARTICULIEREN) props={'key': 'BRIEF_DERDEN_PARTICULIEREN', 'prefLabel': 'Brief derden (particulieren)'}
2025-07-11 01:04:17,767 [INFO] Merged node DocumentSoort(key=BRIEF_FORMATEUR) props={'key': 'BRIEF_FORMATEUR', 'prefLabel': 'Brief formateur'}
2025-07-11 01:04:17,767 [INFO] Merged node DocumentSoort(key=BRIEF_INFORMATEUR) props={'key': 'BRIEF_INFORMATEUR', 'prefLabel': 'Brief informateur'}
2025-07-11 01:04:17,768 [INFO] Merged node DocumentSoort(key=BRIEF_LID_FRACTIE) props={'key': 'BRIEF_LID_FRACTIE', 'prefLabel': 'Brief lid / fractie'}
2025-07-11 01:04:17,768 [INFO] Merged node DocumentSoort(key=BRIEF_PRESIDENT_HOGE_RAAD) props={'key': 'BRIEF_PRESIDENT_HOGE_RAAD', 'prefLabel': 'Brief president Hoge Raad'}
2025-07-11 01:04:17,769 [INFO] Merged node DocumentSoort(key=BRIEF_REGERING) props={'key': 'BRIEF_REGERING', 'prefLabel': 'Brief regering'}
